136;0,582;6;0,858;7;4;Si;136;0,893;16;0,65;10;39;No;45;30;Si;136
137;0,434;6;0,54;5;4;Si;137;0,325;12;0,079;8;31;Si;46;24;Si;137
138;0,207;5;0,314;5;4;Si;138;0,535;12;0,927;10;32;Si;47;26;Si;138
139;0,414;6;0,33;5;4;Si;139;0,049;10;0,786;10;31;Si;48;24;Si;139
140;0,264;6;0,369;5;4;Si;140;0,423;12;0,779;10;33;No;48;26;Si;140
141;0,462;6;0,367;5;4;Si;141;0,235;10;0,318;10;31;Si;49;24;Si;141
142;0,685;7;0,857;7;4;Si;142;0,456;12;0,959;10;36;No;49;26;Si;142
143;0,668;7;0,155;3;4;Si;143;0,897;16;0,217;8;34;No;49;28;Si;143
144;0,134;5;0,327;5;4;Si;144;0,745;14;0,378;10;34;No;49;28;Si;144
145;0,865;8;0,514;5;4;Si;145;0,636;14;0,885;10;37;No;49;28;Si;145
146;0,27;6;0,242;5;4;Si;146;0,026;10;0,008;8;29;Si;50;22;Si;146
147;0,469;6;0,493;5;4;Si;147;0,877;16;0,299;10;37;No;50;30;Si;147
148;0,618;7;0,488;5;4;Si;148;0,618;14;0,655;10;36;No;50;28;Si;148
149;0,873;8;0,926;7;4;Si;149;0,185;10;0,334;10;35;No;50;24;Si;149
150;0,603;7;0,64;5;4;Si;150;0,303;12;0,042;8;32;Si;51;24;Si;150
151;0,586;6;0,548;5;4;Si;151;0,781;14;0,169;8;33;No;51;26;Si;151
152;0,57;6;0,22;5;4;Si;152;0,238;10;0,598;10;31;Si;52;24;Si;152
153;0,471;6;0,127;3;4;Si;153;0,923;16;0,003;8;33;No;52;28;Si;153
154;0,891;8;0,371;5;4;Si;154;0,351;12;0,051;8;33;No;52;24;Si;154
155;0,607;7;0,362;5;4;Si;155;0,717;14;0,014;8;34;No;52;26;Si;155
156;0,436;6;0,9;7;4;Si;156;0,96;16;0,221;8;37;No;52;28;Si;156
157;0,152;5;0,964;7;4;Si;157;0,004;10;0,766;10;32;Si;53;24;Si;157
158;0,343;6;0,547;5;4;Si;158;0,911;16;0,536;10;37;No;53;30;Si;158
159;0,864;8;0,312;5;4;Si;159;0,809;14;0,285;10;37;No;53;28;Si;159
160;0,328;6;0,411;5;4;Si;160;0,154;10;0,995;10;31;Si;54;24;Si;160
161;0,868;8;0,322;5;4;Si;161;0,244;10;0,092;8;31;Si;55;22;Si;161
162;0,655;7;0,388;5;4;Si;162;0,073;10;0,989;10;32;Si;56;24;Si;162
163;0,389;6;0,309;5;4;Si;163;0,777;14;0,722;10;35;No;56;28;Si;163
164;0,931;8;0,148;3;4;Si;164;0,841;14;0,602;10;35;No;56;28;Si;164
165;0,029;5;0,047;3;4;Si;165;0,152;10;0,256;10;28;Si;57;24;Si;165
166;0,616;7;0,243;5;4;Si;166;0,736;14;0,583;10;36;No;57;28;Si;166
167;0,069;5;0,393;5;4;Si;167;0,203;10;0,354;10;30;Si;58;24;Si;167
168;0,297;6;0,913;7;4;Si;168;0,594;12;0,245;8;33;No;58;24;Si;168
169;0,422;6;0,901;7;4;Si;169;0,916;16;0,666;10;39;No;58;30;Si;169
170;0,304;6;0,833;7;4;Si;170;0,781;14;0,177;8;35;No;58;26;Si;170
